"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"08/10/2025","63,400.0","62,300.0","63,500.0","61,700.0","5.51M","3.26%"
"07/10/2025","61,400.0","62,700.0","62,700.0","61,400.0","3.72M","-1.60%"
"06/10/2025","62,400.0","62,700.0","62,700.0","61,800.0","4.05M","1.79%"
"03/10/2025","61,300.0","61,300.0","62,300.0","61,200.0","4.00M","0.16%"
"02/10/2025","61,200.0","62,500.0","62,600.0","61,200.0","3.40M","-1.45%"
"01/10/2025","62,100.0","60,700.0","62,500.0","60,200.0","4.53M","3.50%"
"30/09/2025","60,000.0","60,400.0","60,800.0","60,000.0","3.03M","-0.50%"
"29/09/2025","60,300.0","61,100.0","61,200.0","60,200.0","5.13M","-1.31%"
"26/09/2025","61,100.0","61,500.0","61,800.0","61,100.0","2.49M","-0.65%"
"25/09/2025","61,500.0","62,300.0","62,400.0","61,500.0","2.75M","-0.81%"
"24/09/2025","62,000.0","61,900.0","62,000.0","61,000.0","3.21M","0.65%"
"23/09/2025","61,600.0","61,500.0","62,500.0","61,500.0","3.43M","0.33%"
"22/09/2025","61,400.0","62,100.0","62,800.0","61,400.0","5.29M","-0.97%"
"19/09/2025","62,000.0","63,800.0","63,900.0","62,000.0","5.30M","-2.52%"
"18/09/2025","63,600.0","65,100.0","65,300.0","63,500.0","5.05M","-2.30%"
"17/09/2025","65,100.0","64,800.0","66,200.0","64,800.0","9.87M","0.62%"
"16/09/2025","64,700.0","63,500.0","65,400.0","63,200.0","12.67M","2.54%"
"15/09/2025","63,100.0","63,400.0","63,500.0","62,800.0","3.53M","-0.16%"
"12/09/2025","63,200.0","61,300.0","63,500.0","61,000.0","13.67M","3.27%"
"11/09/2025","61,200.0","59,800.0","61,200.0","59,400.0","5.00M","2.34%"
"10/09/2025","59,800.0","60,500.0","60,600.0","59,700.0","3.12M","-0.83%"
"09/09/2025","60,300.0","60,600.0","61,000.0","60,100.0","3.52M","-0.50%"
"08/09/2025","60,600.0","60,900.0","61,900.0","60,600.0","6.96M","-0.49%"
"05/09/2025","60,900.0","61,900.0","62,000.0","60,900.0","5.36M","-1.46%"
"04/09/2025","61,800.0","61,700.0","62,500.0","61,500.0","4.23M","0.49%"
"03/09/2025","61,500.0","60,300.0","61,500.0","60,300.0","4.77M","1.99%"
"29/08/2025","60,300.0","61,300.0","61,300.0","60,300.0","4.17M","-1.15%"
"28/08/2025","61,000.0","61,000.0","61,500.0","60,700.0","3.66M","0.83%"
"27/08/2025","60,500.0","59,700.0","61,200.0","59,500.0","4.85M","1.34%"
"26/08/2025","59,700.0","58,600.0","60,100.0","58,500.0","2.99M","1.70%"
"25/08/2025","58,700.0","58,900.0","59,600.0","58,700.0","3.36M","0.00%"
"22/08/2025","58,700.0","59,800.0","59,900.0","58,500.0","7.20M","-2.33%"
"21/08/2025","60,100.0","60,100.0","60,900.0","59,600.0","5.81M","0.17%"
"20/08/2025","60,000.0","60,500.0","60,900.0","59,600.0","6.34M","-0.83%"
"19/08/2025","60,500.0","60,800.0","61,200.0","60,400.0","5.26M","-0.33%"
"18/08/2025","60,700.0","61,100.0","61,300.0","60,600.0","4.78M","-0.49%"
"15/08/2025","61,000.0","62,000.0","62,200.0","61,000.0","5.66M","-1.13%"
"14/08/2025","61,700.0","61,300.0","62,200.0","61,000.0","6.53M","0.98%"
"13/08/2025","61,100.0","62,000.0","62,100.0","60,800.0","6.21M","-1.13%"
"12/08/2025","61,800.0","62,100.0","62,400.0","61,400.0","5.21M","0.49%"
"11/08/2025","61,500.0","61,000.0","62,100.0","60,900.0","5.79M","1.15%"
"08/08/2025","60,800.0","61,000.0","61,800.0","60,600.0","6.50M","-0.16%"
"07/08/2025","60,900.0","61,900.0","62,000.0","60,800.0","4.74M","-0.65%"
"06/08/2025","61,300.0","60,400.0","61,700.0","60,400.0","5.38M","2.00%"
"05/08/2025","60,100.0","60,500.0","61,500.0","60,000.0","9.56M","-0.50%"
"04/08/2025","60,400.0","59,800.0","60,800.0","59,800.0","3.75M","0.67%"
"01/08/2025","60,000.0","61,400.0","61,400.0","60,000.0","5.33M","-1.96%"
"31/07/2025","61,200.0","63,000.0","63,500.0","60,400.0","10.57M","-2.70%"
"30/07/2025","62,900.0","63,000.0","63,500.0","62,800.0","6.08M","-0.47%"
"29/07/2025","63,200.0","63,300.0","64,200.0","62,800.0","10.71M","-0.16%"
"28/07/2025","63,300.0","63,300.0","63,900.0","63,000.0","8.46M","0.16%"
"25/07/2025","63,200.0","63,800.0","63,800.0","63,100.0","5.12M","-0.78%"
"24/07/2025","63,700.0","62,100.0","64,000.0","62,100.0","13.42M","3.24%"
"23/07/2025","61,700.0","60,400.0","61,700.0","60,200.0","9.23M","2.49%"
"22/07/2025","60,200.0","60,000.0","60,200.0","59,500.0","4.74M","0.33%"
"21/07/2025","60,000.0","60,300.0","60,800.0","60,000.0","5.50M","-0.33%"
"18/07/2025","60,200.0","60,100.0","61,100.0","60,000.0","5.83M","0.17%"
"17/07/2025","60,100.0","60,300.0","60,600.0","59,800.0","6.36M","0.00%"
"16/07/2025","60,100.0","60,000.0","60,200.0","59,600.0","4.96M","0.00%"
"15/07/2025","60,100.0","60,600.0","61,200.0","60,100.0","6.55M","-0.33%"
"14/07/2025","60,300.0","60,000.0","60,800.0","59,300.0","6.08M","0.84%"
"11/07/2025","59,800.0","60,300.0","60,800.0","59,800.0","6.23M","0.17%"
"10/07/2025","59,700.0","60,500.0","60,600.0","59,700.0","5.25M","-0.83%"
"09/07/2025","60,200.0","59,300.0","60,600.0","59,100.0","9.64M","2.03%"
"08/07/2025","59,000.0","58,000.0","59,200.0","57,900.0","7.16M","1.90%"
"07/07/2025","57,900.0","58,000.0","58,300.0","57,700.0","3.76M","0.17%"
"04/07/2025","57,800.0","57,500.0","57,900.0","57,300.0","2.70M","0.52%"
"03/07/2025","57,500.0","57,700.0","58,400.0","57,300.0","5.29M","-0.35%"
"02/07/2025","57,700.0","57,600.0","58,000.0","57,300.0","3.78M","0.35%"
"01/07/2025","57,500.0","58,400.0","58,400.0","57,200.0","4.01M","-0.86%"
"30/06/2025","58,000.0","58,100.0","58,700.0","57,900.0","4.49M","0.35%"
"27/06/2025","57,800.0","56,800.0","58,600.0","56,300.0","8.90M","2.48%"
"26/06/2025","56,400.0","56,800.0","57,000.0","56,300.0","3.12M","-0.70%"
"25/06/2025","56,800.0","56,500.0","57,800.0","56,400.0","6.27M","0.71%"
"24/06/2025","56,400.0","56,200.0","56,500.0","56,100.0","2.80M","0.89%"
"23/06/2025","55,900.0","56,000.0","56,400.0","55,800.0","3.02M","-1.24%"
"20/06/2025","56,600.0","56,300.0","56,700.0","55,900.0","4.66M","0.89%"
"19/06/2025","56,100.0","56,000.0","56,400.0","55,700.0","2.63M","0.18%"
"18/06/2025","56,000.0","56,300.0","56,800.0","56,000.0","4.10M","-0.36%"
"17/06/2025","56,200.0","56,400.0","56,700.0","56,100.0","3.41M","-0.18%"
"16/06/2025","56,300.0","55,400.0","56,600.0","55,400.0","4.73M","1.44%"
"13/06/2025","55,500.0","55,500.0","55,700.0","55,200.0","3.55M","-0.72%"
"12/06/2025","55,900.0","55,600.0","56,200.0","55,500.0","3.28M","1.27%"
"11/06/2025","55,200.0","55,300.0","55,600.0","55,100.0","1.72M","-0.18%"
"10/06/2025","55,300.0","55,500.0","56,100.0","55,100.0","3.00M","0.00%"
"09/06/2025","55,300.0","55,400.0","56,300.0","55,300.0","3.04M","0.00%"
"06/06/2025","55,300.0","56,400.0","56,400.0","55,100.0","4.12M","-1.78%"
"05/06/2025","56,300.0","57,000.0","57,100.0","56,300.0","2.79M","-1.05%"
"04/06/2025","56,900.0","55,800.0","57,800.0","55,500.0","8.42M","2.52%"
"03/06/2025","55,500.0","54,700.0","56,000.0","54,700.0","4.31M","1.65%"
"02/06/2025","54,600.0","54,900.0","55,200.0","54,500.0","2.64M","-0.55%"
"30/05/2025","54,900.0","55,400.0","55,400.0","54,800.0","3.27M","-0.36%"
"29/05/2025","55,100.0","55,500.0","55,500.0","55,100.0","2.18M","-0.18%"
"28/05/2025","55,200.0","55,700.0","55,700.0","55,100.0","3.90M","-0.36%"
"27/05/2025","55,400.0","55,900.0","56,000.0","55,300.0","3.68M","-0.54%"
"26/05/2025","55,700.0","55,400.0","55,800.0","55,000.0","2.73M","0.72%"
"23/05/2025","55,300.0","55,200.0","55,500.0","55,100.0","1.67M","0.55%"
"22/05/2025","55,000.0","55,400.0","55,600.0","55,000.0","2.67M","-0.72%"
"21/05/2025","55,400.0","56,000.0","56,000.0","55,400.0","4.46M","-0.89%"
"20/05/2025","55,900.0","56,100.0","56,300.0","55,800.0","3.22M","-0.18%"
"19/05/2025","56,000.0","56,200.0","57,000.0","56,000.0","2.80M","-0.36%"
"16/05/2025","56,200.0","56,800.0","56,800.0","56,200.0","3.20M","-1.06%"
"15/05/2025","56,800.0","56,200.0","57,000.0","56,200.0","4.09M","1.07%"
"14/05/2025","56,200.0","57,000.0","57,000.0","56,100.0","5.03M","-0.53%"
"13/05/2025","56,500.0","56,886.3","56,982.9","56,306.8","4.35M","-0.17%"
"12/05/2025","56,596.6","56,017.1","56,693.2","56,017.1","5.86M","1.56%"
"09/05/2025","55,727.4","55,727.4","56,596.6","55,727.4","3.83M","0.52%"
"08/05/2025","55,437.6","55,244.4","55,823.9","55,244.4","3.26M","0.35%"
"07/05/2025","55,244.4","54,954.7","55,727.4","54,954.7","2.91M","-2.91%"
"06/05/2025","56,900.0","57,000.0","57,400.0","56,900.0","2.50M","0.00%"
"05/05/2025","56,900.0","57,500.0","57,600.0","56,900.0","4.24M","-1.22%"
"29/04/2025","57,600.0","57,500.0","57,900.0","57,200.0","2.56M","0.17%"
"28/04/2025","57,500.0","58,300.0","58,300.0","57,500.0","2.66M","-1.37%"
"25/04/2025","58,300.0","56,500.0","58,300.0","56,500.0","8.12M","3.55%"
"24/04/2025","56,300.0","56,500.0","56,800.0","56,200.0","1.96M","-0.18%"
"23/04/2025","56,400.0","56,800.0","57,300.0","56,400.0","3.59M","0.71%"
"22/04/2025","56,000.0","56,600.0","56,600.0","53,900.0","6.96M","-1.23%"
